AK-47 | Aphrodite (Factory New)
Sticker | Attacker | Katowice 2019
Sticker | Aurora | Budapest 2025
Sticker | Avangar (Holo) | Katowice 2019
Sticker | Ax1Le (Holo) | Antwerp 2022
Sticker | BIG (Gold) | 2020 RMR
Sticker | BIG (Holo) | Shanghai 2024
Sticker | BIG (Holo) | Stockholm 2021
Sticker | BIG | Katowice 2019
Sticker | BLAST.tv (Holo) | Paris 2023
Sticker | BLAST.tv | Paris 2023
Sticker | BOROS (Holo) | Paris 2023
Sticker | Bad News Eagles (Glitter) | Paris 2023
Sticker | Bad News Eagles (Glitter) | Rio 2022
Sticker | Bad News Eagles (Gold) | Antwerp 2022
Sticker | Bad News Eagles | Rio 2022
Sticker | Basilisk
Sticker | Battle Scarred
Sticker | Battlefield Portal
Sticker | BetBoom (Gold) | Austin 2025
Sticker | Bite Me (Foil)
Sticker | BnTeT (Gold) | Katowice 2019
Sticker | BnTeT | Katowice 2019
Sticker | Bombsquad
Sticker | Boom | 2020 RMR
Sticker | Boombl4 (Gold) | Copenhagen 2024
Sticker | Boombl4 | Katowice 2019
Sticker | Brehze (Gold) | Rio 2022
Sticker | Brollan (Glitter) | Paris 2023
Sticker | Bullet Hell (Foil)
Sticker | COLDYY1 (Foil) | London 2018
Sticker | Call Your Flashes
Sticker | Calyx | Antwerp 2022
Sticker | Chabo
Sticker | ChildKing (Holo) | Shanghai 2024
Sticker | Cloud9 (Foil) | Cluj-Napoca 2015
Sticker | Cloud9 (Foil) | Katowice 2019
Sticker | Cloud9 (Holo) | Katowice 2019
Sticker | Cloud9 (Holo) | MLG Columbus 2016
Sticker | Cloud9 G2A (Foil) | Katowice 2015
Sticker | Cloud9 G2A (Holo) | Katowice 2015
Sticker | Cloud9 | MLG Columbus 2016
Sticker | Cluck
Sticker | Combine Helmet (Holo)
Sticker | Counter Logic Gaming | Cologne 2016
Sticker | Counter Logic Gaming | Katowice 2015
Sticker | Counter Logic Gaming | MLG Columbus 2016
Sticker | Coutdown(Holo)
Sticker | Cypher | Paris 2023
Sticker | DD (Foil) | Boston 2018
Sticker | DEVIL | MLG Columbus 2016
Sticker | Dark Water Surf Ava (Foil)
Sticker | DeStiNy | Berlin 2019
Sticker | DickStacy (Foil) | Katowice 2019
Sticker | DickStacy | Katowice 2019
Sticker | Dima (Foil) | London 2018
Sticker | Don't Worry(Holo)
Sticker | Dosia (Foil) | Boston 2018
Sticker | Drug War Veteran
Sticker | ENCE (Gold) | Paris 2023
Sticker | Edward (Gold) | London 2018
Sticker | Edward | London 2018
Sticker | EliGE (Foil) | London 2018
Sticker | EliGE (Glitter) | Antwerp 2022
Sticker | EliGE | London 2018
Sticker | EmiliaQAQ (Embroidered) | Budapest 2025
Sticker | EspiranTo (Foil) | Berlin 2019
Sticker | Eternal Fire (Holo) | Antwerp 2022
Sticker | Eternal Fire (Holo) | Copenhagen 2024
Sticker | Eternal Fire | Antwerp 2022
Sticker | Evidence (Holo)
Sticker | Evil Geniuses | Stockholm 2021
Sticker | Ex6TenZ (Foil) | MLG Columbus 2016
Sticker | Ex6TenZ | Cologne 2015
Sticker | Explosive Strength
Sticker | F1KU (Gold) | Paris 2023
Sticker | FL1T (Glitter) | Copenhagen 2024
Sticker | FL1T (Holo) | Shanghai 2024
Sticker | FL1T | Austin 2025
Sticker | FNS (Foil) | Cluj-Napoca 2015
Sticker | FURIA (Glitter) | Paris 2023
Sticker | FURIA (Holo) | Antwerp 2022
Sticker | FURIA (Holo) | Rio 2022
Sticker | FURIA | Paris 2023
Sticker | FaNg | Antwerp 2022
Sticker | FaZe (Gold) | 2020 RMR
Sticker | FaZe Clan (Foil) | Katowice 2019
Sticker | FaZe Clan (Foil) | Krakow 2017
Sticker | FaZe Clan (Gold) | Budapest 2025
Sticker | FaZe Clan (Holo) | Boston 2018
Sticker | FaZe Clan (Holo) | Katowice 2019
Sticker | FaZe Clan (Holo) | Shanghai 2024
Sticker | FaZe Clan | Antwerp 2022
Sticker | FaZe Clan | Atlanta 2017
Sticker | FaZe Clan | Katowice 2019
Sticker | FaZe Clan | London 2018
Sticker | FalleN (Embroidered) | Budapest 2025
Sticker | FalleN (Foil) | Boston 2018
Sticker | FalleN (Glitter) | Copenhagen 2024
Sticker | FalleN (Gold) | London 2018
Sticker | FalleN (Holo) | Copenhagen 2024
Sticker | FalleN (Holo) | Shanghai 2024
Sticker | FalleN | Cluj-Napoca 2015
Sticker | FalleN | MLG Columbus 2016
Sticker | FlameZ (Foil, Champion) | Austin 2025
Sticker | FlameZ (Gold) | Budapest 2025
Sticker | Flipsid3 Tactics (Foil) | Boston 2018
Sticker | Flipsid3 Tactics (Foil) | Cologne 2015
Sticker | Flipsid3 Tactics (Foil) | Cologne 2016
Sticker | Flipsid3 Tactics (Holo) | Cologne 2016
Sticker | Flipsid3 Tactics | Katowice 2015
Sticker | Fluxo (Embroidered) | Budapest 2025
Sticker | FlyQuest (Embroidered) | Budapest 2025
Sticker | Fnatic (Glitter) | Rio 2022
Sticker | Fnatic (Holo) | London 2018
Sticker | Fnatic | Boston 2018
Sticker | Fnatic | London 2018
Sticker | Fnatic | MLG Columbus 2016
Sticker | Free Hugs
Sticker | Freeman (Foil) | Berlin 2019
Sticker | Freeman | Berlin 2019
Sticker | G2 Esports (Foil) | Katowice 2019
Sticker | G2 Esports (Gold) | Paris 2023
Sticker | G2 Esports (Holo) | Austin 2025
Sticker | G2 Esports | Berlin 2019
Sticker | G2 esports (Gold) | Budapest 2025
Sticker | Gambit (Foil) | Krakow 2017
Sticker | Gambit Esports | London 2018
Sticker | Gambit Gaming (Foil) | Stockholm 2021
Sticker | GeT_RiGhT (Foil) | Cologne 2015
Sticker | Golden (Foil) | Berlin 2019
Sticker | Good Versus Evil
Sticker | Goofy (Glitter) | Copenhagen 2024
Sticker | Goofy (Gold) | Paris 2023
Sticker | Graviti (Holo) | Budapest 2025
Sticker | GuardiaN (Foil) | London 2018
Sticker | GuardiaN (Gold) | Katowice 2019
Sticker | HEROIC (Holo) | Austin 2025
Sticker | HObbit | Stockholm 2021
Sticker | Happy (Foil) | Cologne 2016
Sticker | Happy (Foil) | MLG Columbus 2016
Sticker | Happy | Atlanta 2017
Sticker | HellRaisers (Holo) | Atlanta 2017
Sticker | HellRaisers | Cologne 2014
Sticker | Hello M4A1-S
Sticker | Hello MP7
Sticker | Hello PP-Bizon
Sticker | HexT | Rio 2022
Sticker | Hiko (Foil) | Atlanta 2017
Sticker | History (Embroidered) | Budapest 2025
Sticker | Hobbit (Glitter) | Antwerp 2022
Sticker | Hobbit (Holo) | Copenhagen 2024
Sticker | Hobbit | Boston 2018
Sticker | HooXi (Holo) | Paris 2023
Sticker | Hot Wings (Holo)
Sticker | Hyper (Foil) | Cologne 2015
Sticker | I Conquered
Sticker | ICY (Holo) | Austin 2025
Sticker | IEM (Foil) | Katowice 2019
Sticker | INS (Gold) | Budapest 2025
Sticker | INS | Budapest 2025
Sticker | In The Fire (Foil)
Sticker | Into The Breach (Glitter) | Paris 2023
Sticker | JBa | Austin 2025
Sticker | JDC (Glitter) | Shanghai 2024
Sticker | JT (Embroidered) | Budapest 2025
Sticker | JT (Glitter) | Paris 2023
Sticker | JT | Budapest 2025
Sticker | JW (Foil) | Cologne 2015
Sticker | JW | Atlanta 2017
Sticker | Jame (Embroidered) | Budapest 2025
Sticker | Jame (Glitter) | Shanghai 2024
Sticker | Jame (Gold) | Copenhagen 2024
Sticker | Jame (Holo, Champion) | Rio 2022
Sticker | Jame | Antwerp 2022
Sticker | Jame | Shanghai 2024
Sticker | James (Foil) | Cologne 2015
Sticker | Jerry (Glitter) | Antwerp 2022
Sticker | Jimpphat (Glitter) | Copenhagen 2024
Sticker | KENSi | Antwerp 2022
Sticker | KEi (Glitter) | Paris 2023
Sticker | KRIMZ (Foil) | Atlanta 2017
Sticker | KRIMZ (Gold) | Paris 2023
Sticker | KRIMZ | Boston 2018
Sticker | KRIMZ | Paris 2023
Sticker | KSCERATO (Foil) | Katowice 2019
Sticker | KSCERATO (Glitter) | Rio 2022
Sticker | KSCERATO (Gold) | Paris 2023
Sticker | KSCERATO | Rio 2022
Sticker | Karsa | Boston 2018
Sticker | Kawaii CT (Holo)
Sticker | Kawaii Killer CT
Sticker | Kawaii T (Holo)
Sticker | Kaze (Glitter) | Shanghai 2024
Sticker | Kaze (Gold) | Katowice 2019
Sticker | Kaze | Katowice 2019
Sticker | Keoz (Gold) | Copenhagen 2024
Sticker | Keoz (Holo) | Copenhagen 2024
Sticker | Keoz | Berlin 2019
Sticker | Killjoy (Holo)
Sticker | Kimberly(Holo)
Sticker | Kitted Out
Sticker | Krad (Glitter) | Copenhagen 2024
Sticker | Kvem (Gold) | Budapest 2025
Sticker | Kvik (Gold) | London 2018
Sticker | Kyojin (Holo) | Stockholm 2021
Sticker | L1haNg (Glitter) | Shanghai 2024
Sticker | LEGIJA (Gold) | Boston 2018
Sticker | Lake | Austin 2025
Sticker | Last Vance (Gold)
Sticker | Legacy | Copenhagen 2024
Sticker | Legendary Eagle (Holo)
Sticker | Liazz (Glitter) | Rio 2022
Sticker | Liazz (Gold) | Katowice 2019
Sticker | Liquid Fire
Sticker | Lore Poison Frog (Foil)
Sticker | Lorena (Holo)
Sticker | LoveYY | Boston 2018
Sticker | Lucaozy (Holo) | Austin 2025
Sticker | Lucaozy | Budapest 2025
Sticker | Lucas (Holo)
Sticker | Luck Skill
Sticker | Lynn Vision (Gold) | Austin 2025
Sticker | Lynn Vision (Holo) | Budapest 2025
Sticker | M80 (Embroidered) | Budapest 2025
Sticker | MAJ3R (Embroidered) | Budapest 2025
Sticker | MATYS (Gold) | Budapest 2025
Sticker | MATYS (Holo) | Shanghai 2024
Sticker | MIBR (Gold) | Budapest 2025
Sticker | MIBR | Antwerp 2022
Sticker | MICHU | London 2018
Sticker | MOUZ (Glitter) | Rio 2022
Sticker | MOUZ (Gold) | Austin 2025
Sticker | MSL | Cluj-Napoca 2015
Sticker | MTS GameGod Wolf | Cologne 2014
Sticker | MUTiRiS (Gold) | Copenhagen 2024
Sticker | Maikelele (Foil) | MLG Columbus 2016
Sticker | Maka (Glitter) | Shanghai 2024
Sticker | Maka (Gold) | Budapest 2025
Sticker | Massive Pear
Sticker | NAF (Foil) | London 2018
Sticker | NAF | Atlanta 2017
Sticker | NAF | Austin 2025
Sticker | NAF | Shanghai 2024
Sticker | NBK- (Foil) | Cologne 2015
Sticker | NBK- (Foil) | MLG Columbus 2016
Sticker | NBK- (Gold) | Berlin 2019
Sticker | NBK- | Cologne 2015
Sticker | NEKiZ (Glitter) | Copenhagen 2024
Sticker | NQZ (Embroidered) | Budapest 2025
Sticker | NQZ (Glitter) | Rio 2022
Sticker | NQZ | Copenhagen 2024
Sticker | NRG | Austin 2025
Sticker | Natus Vincere (Embroidered) | Budapest 2025
Sticker | Natus Vincere (Foil) | Atlanta 2017
Sticker | Natus Vincere (Foil) | Cluj-Napoca 2015
Sticker | Natus Vincere (Foil) | Katowice 2015
Sticker | Natus Vincere (Glitter) | Antwerp 2022
Sticker | Natus Vincere (Glitter) | Shanghai 2024
Sticker | Natus Vincere (Gold) | Stockholm 2021
Sticker | Natus Vincere (Holo) | Atlanta 2017
Sticker | Necron Ankh
Sticker | Nemiga (Holo) | 2020 RMR
Sticker | Nemiga | 2020 RMR
Sticker | NertZ | Copenhagen 2024
Sticker | New Sheriff (Foil)
Sticker | NiKo (Embroidered) | Budapest 2025
Sticker | NiKo (Gold) | Katowice 2019
Sticker | NiKo (Holo) | Shanghai 2024
Sticker | NiKo | Shanghai 2024
Sticker | Nifty (Gold) | London 2018
Sticker | Ninjas in Pyjamas (Holo) | Budapest 2025
Sticker | Ninjas in Pyjamas (Holo) | Cologne 2016
Sticker | Ninjas in Pyjamas (Holo) | Rio 2022
Sticker | Ninjas in Pyjamas | Cologne 2014
Sticker | No Pats
Sticker | Noble
Sticker | Nodios (Holo) | Copenhagen 2024
Sticker | North (Holo) | Berlin 2019
Sticker | North | 2020 RMR
Sticker | Norwi (Holo) | Antwerp 2022
Sticker | OG (Gold) | Paris 2023
Sticker | One Sting
Sticker | OpTic Gaming | London 2018
Sticker | Opal Flick (Holo)
Sticker | PARIVISION (Embroidered) | Budapest 2025
Sticker | PENTA Sports (Holo) | Katowice 2015
Sticker | PGL (Gold) | Stockholm 2021
Sticker | Passion UA | Shanghai 2024
Sticker | Pegasus (Holo)
Sticker | Perfecto (Gold) | Paris 2023
Sticker | Pimp (Foil) | Cluj-Napoca 2015
Sticker | Pixel Avenger
Sticker | Pixiu (Foil)
Sticker | Poorly Drawn Ava
Sticker | Poorly Drawn Ava (Holo)
Sticker | Poorly Drawn Bloody Darryl
Sticker | Poorly Drawn IDF (Holo)
Sticker | Poorly Drawn SAS (Holo)
Sticker | Poorly Drawn Terrorist (Holo)
Sticker | Pop Pup
Sticker | Quick Peek
Sticker | ROUX (Foil) | Austin 2025
Sticker | ROUX | Austin 2025
Sticker | RUBINO | Atlanta 2017
Sticker | RUBINO | Cologne 2016
Sticker | RUSH (Foil) | Cologne 2016
Sticker | RUSH (Foil) | London 2018
Sticker | RUSH (Gold) | Boston 2018
Sticker | Ramz1kBO$$ | Berlin 2019
Sticker | Rare Atom (Gold) | Budapest 2025
Sticker | Renegades (Foil) | Berlin 2019
Sticker | Renegades (Foil) | Cologne 2015
Sticker | Renegades (Foil) | Katowice 2019
Sticker | Renegades (Gold) | Stockholm 2021
Sticker | Rickeh (Foil) | Cologne 2015
Sticker | Rickeh (Gold) | London 2018
Sticker | Rickeh | Katowice 2019
Sticker | Rock, Paper, Scissors (Foil)
Sticker | Rogue (Holo) | London 2018
Sticker | Roosty Boosty
Sticker | RpK (Foil) | Cologne 2016
Sticker | RpK | Cluj-Napoca 2015
Sticker | Ruby Wave (Lenticular)
Sticker | Run T, Run
Sticker | SENER1 (Holo) | Paris 2023
Sticker | SIXER (Foil) | Atlanta 2017
Sticker | SIXER (Gold) | Boston 2018
Sticker | STYKO | Boston 2018
Sticker | STYKO | Paris 2023
Sticker | Salute!
Sticker | ScreaM | MLG Columbus 2016
Sticker | Seeing Red
Sticker | Senzu | Budapest 2025
Sticker | ShahZaM (Gold) | London 2018
Sticker | Shattered Web
Sticker | Skadoodle (Foil) | London 2018
Sticker | Skadoodle (Foil) | MLG Columbus 2016
Sticker | Skadoodle (Gold) | Boston 2018
Sticker | Skin Lover (Lenticular)
Sticker | Snappi (Foil) | London 2018
Sticker | Snappi (Gold) | Rio 2022
Sticker | Snappi (Holo) | Antwerp 2022
Sticker | Snax (Foil) | Austin 2025
Sticker | Snax (Holo) | Shanghai 2024
Sticker | SnypeR (Foil) | Cologne 2015
Sticker | SnypeR | Cologne 2015
Sticker | Sonic (Gold) | Shanghai 2024
Sticker | Sonic (Holo) | Austin 2025
Sticker | Speedy T
Sticker | Sphinx
Sticker | Spinx | Shanghai 2024
Sticker | Spirit (Gold) | 2020 RMR
Sticker | Spirit (Holo) | 2020 RMR
Sticker | Splyce (Holo) | MLG Columbus 2016
Sticker | Staehr (Glitter) | Rio 2022
Sticker | Starry (Glitter) | Copenhagen 2024
Sticker | Starry | Budapest 2025
Sticker | Stewie2K | Krakow 2017
Sticker | Summer | Berlin 2019
Sticker | SunPayus (Gold) | Paris 2023
Sticker | TACO | Rio 2022
Sticker | TRAVIS (Glitter) | Copenhagen 2024
Sticker | TRY | Rio 2022
Sticker | TSM Kinguin (Holo) | Katowice 2015
Sticker | TYLOO (Foil) | 2020 RMR
Sticker | TYLOO (Holo) | Budapest 2025
Sticker | TYLOO | Budapest 2025
Sticker | TaZ | Atlanta 2017
Sticker | Taste Bud
Sticker | TeSeS (Foil) | Austin 2025
Sticker | TeSeS (Gold) | Shanghai 2024
Sticker | TeSeS | Paris 2023
Sticker | Team EnVyUs (Foil) | Atlanta 2017
Sticker | Team EnVyUs (Holo) | Katowice 2015
Sticker | Team EnVyUs | Boston 2018
Sticker | Team Kinguin (Foil) | Cologne 2015
Sticker | Team Liquid (Gold) | Antwerp 2022
Sticker | Team Liquid (Holo) | MLG Columbus 2016
Sticker | Team Liquid | Berlin 2019
Sticker | Team Liquid | Budapest 2025
Sticker | Team Liquid | Paris 2023
Sticker | Team Liquid | Stockholm 2021
Sticker | Team SoloMid | Cluj-Napoca 2015
Sticker | Team Spirit (Holo) | Budapest 2025
Sticker | Techno4K (Gold) | Austin 2025
Sticker | Techno4K | Budapest 2025
Sticker | The Bomber
Sticker | The Mongolz (Gold) | Austin 2025
Sticker | This Is Fine (T)
Sticker | Thug Life
Sticker | Twistzz (Foil) | London 2018
Sticker | Twistzz (Gold) | Katowice 2019
Sticker | Tyloo | Katowice 2019
Sticker | Tyranids Ravener
Sticker | USTILO (Foil) | Cologne 2015
Sticker | Unicorn
Sticker | VINI | Stockholm 2021
Sticker | Vega Squadron (Holo) | Katowice 2019
Sticker | Viggo
Sticker | Virtus.Pro (Foil) | DreamHack 2014
Sticker | Virtus.Pro (Holo) | Atlanta 2017
Sticker | Virtus.Pro (Holo) | Cologne 2016
Sticker | Virtus.Pro | Boston 2018
Sticker | Virtus.Pro | Cologne 2014
Sticker | Virtus.Pro | Stockholm 2021
Sticker | Vitality (Gold) | Austin 2025
Sticker | Vitality (Holo) | Budapest 2025
Sticker | Vortigaunt the Painter
Sticker | Vox Eminor (Foil) | Katowice 2015
Sticker | Vox Eminor | Cologne 2014
Sticker | WOOD7 | Antwerp 2022
Sticker | War Penguin
Sticker | Wicadia (Holo) | Copenhagen 2024
Sticker | WorldEdit (Foil) | Cluj-Napoca 2015
Sticker | WorldEdit | MLG Columbus 2016
Sticker | XANTARES (Gold) | Boston 2018
Sticker | XANTARES (Gold) | Copenhagen 2024
Sticker | Xant3r (Holo) | Austin 2025
Sticker | Xizt (Foil) | Cluj-Napoca 2015
Sticker | Xizt | London 2018
Sticker | Xyp9x (Foil) | MLG Columbus 2016
Sticker | Xyp9x (Gold) | Katowice 2019
Sticker | Xyp9x | Antwerp 2022
Sticker | Xyp9x | MLG Columbus 2016
Sticker | YEKINDAR (Holo) | Paris 2023
Sticker | YEKINDAR | Rio 2022
Sticker | Yellow Bombster
Sticker | Yellow Jaggyfish
Sticker | Zap Cat
Sticker | Zero | Atlanta 2017
Sticker | ZywOo (Embroidered, Champion) | Budapest 2025
Sticker | ZywOo (Holo) | Shanghai 2024
Sticker | aNdu | Shanghai 2024
Sticker | ableJ | Berlin 2019
Sticker | aizy (Foil) | MLG Columbus 2016
Sticker | aizy | Cologne 2016
Sticker | aliStair (Glitter) | Rio 2022
Sticker | aliStair (Gold) | Rio 2022
Sticker | aliStair | Antwerp 2022
Sticker | apEX (Embroidered, Champion) | Budapest 2025
Sticker | apEX (Foil) | Atlanta 2017
Sticker | apEX (Foil) | Austin 2025
Sticker | apEX (Glitter) | Antwerp 2022
Sticker | apEX (Gold) | Shanghai 2024
Sticker | apEX | Krakow 2017
Sticker | arT (Foil) | Austin 2025
Sticker | arT (Glitter) | Rio 2022
Sticker | arT | Stockholm 2021
Sticker | arrozdoce (Holo) | Copenhagen 2024
Sticker | autimatic | Katowice 2019
Sticker | b1t (Embroidered) | Budapest 2025
Sticker | b1t (Glitter) | Shanghai 2024
Sticker | b4rtiN (Glitter) | Copenhagen 2024
Sticker | b4rtiN (Gold) | Copenhagen 2024
Sticker | bLitz | Paris 2023
Sticker | bLitz | Rio 2022
Sticker | biguzera (Glitter) | Paris 2023
Sticker | biguzera (Glitter) | Shanghai 2024
Sticker | biguzera (Holo) | Austin 2025
Sticker | biguzera (Holo) | Copenhagen 2024
Sticker | biguzera | Budapest 2025
Sticker | blameF | Shanghai 2024
Sticker | bodyy (Foil) | Atlanta 2017
Sticker | bodyy (Gold) | Shanghai 2024
Sticker | bodyy | Boston 2018
Sticker | bodyy | Cologne 2016
Sticker | bodyy | Katowice 2019
Sticker | bodyy | Krakow 2017
Sticker | bodyy | London 2018
Sticker | boltz (Foil) | Cologne 2015
Sticker | boltz (Gold) | Rio 2022
Sticker | bondik | Boston 2018
Sticker | bondik | MLG Columbus 2016
Sticker | broky (Foil) | Austin 2025
Sticker | broky (Gold) | Paris 2023
Sticker | broky (Gold) | Shanghai 2024
Sticker | buster (Gold) | Stockholm 2021
Sticker | buster (Holo) | Antwerp 2022
Sticker | byali (Foil) | Cologne 2015
Sticker | byali | London 2018
Sticker | byali | MLG Columbus 2016
Sticker | cajunb (Foil) | London 2018
Sticker | chelo (Glitter) | Antwerp 2022
Sticker | chelo (Gold) | Rio 2022
Sticker | chopper (Glitter) | Shanghai 2024
Sticker | chrisJ | Cologne 2015
Sticker | chrisJ | Krakow 2017
Sticker | chrisJ | MLG Columbus 2016
Sticker | cobra (Gold) | Budapest 2025
Sticker | coldzera (Foil) | Boston 2018
Sticker | coldzera (Gold) | Copenhagen 2024
Sticker | coldzera (Gold) | Katowice 2019
Sticker | coldzera (Gold) | Rio 2022
Sticker | coldzera | Berlin 2019
Sticker | coldzera | Cologne 2015
Sticker | compLexity Gaming (Foil) | Berlin 2019
Sticker | cool4st (Foil) | Austin 2025
Sticker | crush (Gold) | Katowice 2019
Sticker | dav1deuS (Embroidered) | Budapest 2025
Sticker | dav1g (Gold) | Copenhagen 2024
Sticker | decenty (Holo) | Austin 2025
Sticker | decenty | Copenhagen 2024
Sticker | degster (Glitter) | Rio 2022
Sticker | denis (Foil) | Atlanta 2017
Sticker | denis (Foil) | Cologne 2015
Sticker | denis (Foil) | Cologne 2016
Sticker | denis (Gold) | Boston 2018
Sticker | denis | MLG Columbus 2016
Sticker | dennis | MLG Columbus 2016
Sticker | device (Foil) | Berlin 2019
Sticker | device (Foil) | Cologne 2015
Sticker | device | Katowice 2019
Sticker | dexter (Foil) | Berlin 2019
Sticker | dexter (Glitter) | Paris 2023
Sticker | disco doplan (Foil) | Atlanta 2017
Sticker | donk (Gold) | Shanghai 2024
Sticker | drop (Glitter) | Antwerp 2022
Sticker | drop (Gold) | Paris 2023
Sticker | dumau (Holo) | Copenhagen 2024
Sticker | dupreeh (Holo) | Rio 2022
Sticker | dupreeh (Holo, Champion) | Paris 2023
Sticker | electroNic (Holo) | Stockholm 2021
Sticker | electronic (Gold) | Berlin 2019
Sticker | electronic (Gold) | London 2018
Sticker | electronic | Copenhagen 2024
Sticker | erkaSt (Gold) | Katowice 2019
Sticker | exit (Holo) | Budapest 2025
Sticker | f0rest (Foil) | Berlin 2019
Sticker | f0rest (Foil) | Cluj-Napoca 2015
Sticker | f0rest (Foil) | Cologne 2015
Sticker | f0rest | MLG Columbus 2016
Sticker | fEAR (Gold) | Shanghai 2024
Sticker | fame (Champion) | Rio 2022
Sticker | fame (Holo) | Shanghai 2024
Sticker | fame | Austin 2025
Sticker | fame | Copenhagen 2024
Sticker | felps (Gold) | Boston 2018
Sticker | felps (Gold) | Paris 2023
Sticker | fer (Foil) | Atlanta 2017
Sticker | fer (Foil) | Cologne 2015
Sticker | fer | Krakow 2017
Sticker | fitch (Gold) | Boston 2018
Sticker | flamie (Foil) | Cologne 2015
Sticker | flamie (Foil) | MLG Columbus 2016
Sticker | flamie (Gold) | Boston 2018
Sticker | flamie (Gold) | Katowice 2019
Sticker | flamie (Gold) | London 2018
Sticker | flamie | Atlanta 2017
Sticker | flamie | Cologne 2015
Sticker | floppy (Glitter) | Copenhagen 2024
Sticker | floppy (Gold) | Shanghai 2024
Sticker | floppy (Holo) | Shanghai 2024
Sticker | flusha (Foil) | Cologne 2016
Sticker | flusha (Gold) | Boston 2018
Sticker | flusha (Gold) | Katowice 2019
Sticker | flusha | Cologne 2015
Sticker | flusha | MLG Columbus 2016
Sticker | fnatic (Gold) | Budapest 2025
Sticker | fnx (Gold) | Antwerp 2022
Sticker | fnx | MLG Columbus 2016
Sticker | forZe eSports (Gold) | Paris 2023
Sticker | forZe eSports (Holo) | Antwerp 2022
Sticker | forZe eSports (Holo) | Paris 2023
Sticker | forZe eSports | Berlin 2019
Sticker | fox (Foil) | Atlanta 2017
Sticker | friberg (Foil) | Cologne 2015
Sticker | friberg | MLG Columbus 2016
Sticker | frozen | Berlin 2019
Sticker | gla1ve (Glitter) | Antwerp 2022
Sticker | gla1ve (Gold) | Katowice 2019
Sticker | gla1ve | Atlanta 2017
Sticker | gob b | Boston 2018
Sticker | hades (Glitter) | Copenhagen 2024
Sticker | hades (Gold) | Austin 2025
Sticker | hades (Gold) | Copenhagen 2024
Sticker | hades | Antwerp 2022
Sticker | hallzerk (Glitter) | Shanghai 2024
Sticker | hallzerk (Gold) | Shanghai 2024
Sticker | hallzerk (Holo) | Austin 2025
Sticker | hampus | Antwerp 2022
Sticker | hardzao | Paris 2023
Sticker | hazed (Foil) | MLG Columbus 2016
Sticker | hazed | Cluj-Napoca 2015
Sticker | hazed | MLG Columbus 2016
Sticker | huNter- (Gold) | Budapest 2025
Sticker | huNter- | Budapest 2025
Sticker | huNter- | Shanghai 2024
Sticker | hutji (Gold) | Katowice 2019
Sticker | iM (Champion) | Copenhagen 2024
Sticker | iM (Glitter) | Paris 2023
Sticker | iM | Paris 2023
Sticker | jL (Foil) | Austin 2025
Sticker | jL (Glitter, Champion) | Copenhagen 2024
Sticker | jL (Gold, Champion) | Copenhagen 2024
Sticker | jL (Holo) | Shanghai 2024
Sticker | jabbi | Antwerp 2022
Sticker | jambo (Glitter) | Shanghai 2024
Sticker | jcobbb | Budapest 2025
Sticker | jdm64 (Foil) | Cologne 2015
Sticker | jdm64 (Foil) | MLG Columbus 2016
Sticker | jdm64 | Atlanta 2017
Sticker | jdm64 | Cluj-Napoca 2015
Sticker | jeorge (Foil) | Austin 2025
Sticker | jeorge | Austin 2025
Sticker | jkaem | Cologne 2016
Sticker | jkaem | Paris 2023
Sticker | jks (Gold) | Boston 2018
Sticker | jks (Gold) | Budapest 2025
Sticker | jks | Shanghai 2024
Sticker | jottAAA (Holo) | Budapest 2025
Sticker | juanflatroo (Gold) | Rio 2022
Sticker | k0nfig (Foil) | London 2018
Sticker | k0nfig | Cologne 2016
Sticker | k1to | Rio 2022
Sticker | kNgV- (Foil) | Boston 2018
Sticker | kRaSnaL | Paris 2023
Sticker | kabal (Glitter) | Antwerp 2022
Sticker | kabal (Gold) | Rio 2022
Sticker | karrigan (Foil) | Atlanta 2017
Sticker | karrigan (Glitter) | Antwerp 2022
Sticker | karrigan | Budapest 2025
Sticker | karrigan | Cologne 2015
Sticker | kennyS (Foil) | Cologne 2015
Sticker | kennyS (Gold) | Boston 2018
Sticker | kennyS | London 2018
Sticker | kensizor (Foil) | Austin 2025
Sticker | keshandr (Foil) | Boston 2018
Sticker | khaN (Holo) | Austin 2025
Sticker | kioShiMa (Foil) | Katowice 2019
Sticker | kyousuke | Budapest 2025
Sticker | kyxsan (Holo) | Copenhagen 2024
Sticker | kyxsan | Budapest 2025
Sticker | latto (Gold) | Budapest 2025
Sticker | lux | Shanghai 2024
Sticker | m0NESY (Glitter) | Shanghai 2024
Sticker | m0NESY | Copenhagen 2024
Sticker | maden (Glitter) | Paris 2023
Sticker | maden (Glitter) | Rio 2022
Sticker | maden | Rio 2022
Sticker | magixx (Gold, Champion) | Shanghai 2024
Sticker | markeloff | Boston 2018
Sticker | max | Rio 2022
Sticker | mezii (Champion) | Austin 2025
Sticker | mezii (Holo) | Shanghai 2024
Sticker | mezii (Holo, Champion) | Austin 2025
Sticker | mir (Gold) | Boston 2018
Sticker | mir (Gold) | Copenhagen 2024
Sticker | mir | Copenhagen 2024
Sticker | misutaaa (Holo) | Antwerp 2022
Sticker | mlhzin (Holo) | Austin 2025
Sticker | molodoy (Foil) | Austin 2025
Sticker | mou (Foil) | London 2018
Sticker | mousesports (Foil) | Cologne 2016
Sticker | mousesports (Holo) | Atlanta 2017
